system:index,BT_B10,MNDWI,NDBI,NDVI,date,.geo
2_LC09_118038_20240803_293,312.07031617999996,-0.2891155011306907,-0.4680809859154929,0.7728806892776087,2024-08-03,"{""type"":""Point"",""coordinates"":[121.99288344223126,30.942490147825772]}"
2_LC09_118038_20240803_294,304.2293783,0.4329560332112495,-0.05728061716489868,-0.3411057692307693,2024-08-03,"{""type"":""Point"",""coordinates"":[122.0628623478645,30.88602021223335]}"
2_LC09_118038_20240803_296,324.47772878,-0.33309949725242594,0.03142738683050017,0.30326206029131336,2024-08-03,"{""type"":""Point"",""coordinates"":[121.668895596128,31.28934514760287]}"
2_LC09_118038_20240803_297,306.22892,0.666932459171318,-0.3229272978327428,-0.4648338838158152,2024-08-03,"{""type"":""Point"",""coordinates"":[122.06932755151902,31.617903826202433]}"
2_LC09_118038_20240803_298,315.70367144,-0.4026873243298828,-0.37516350514309565,0.7656230599828789,2024-08-03,"{""type"":""Point"",""coordinates"":[120.88534166788695,31.229914495905884]}"
2_LC09_118038_20240803_300,318.00741691999997,-0.3149111302066845,-0.14713992373129955,0.397940945163366,2024-08-03,"{""type"":""Point"",""coordinates"":[121.63811840304041,31.299980886881514]}"
2_LC09_118038_20240803_301,312.90431306,-0.49842590510456486,-0.30816750302820556,0.8037770063109171,2024-08-03,"{""type"":""Point"",""coordinates"":[121.95959994229476,30.914917840993052]}"
2_LC09_118038_20240803_302,318.63291458000003,-0.2317659965963769,-0.16653222506692864,0.4104941761845527,2024-08-03,"{""type"":""Point"",""coordinates"":[121.12197674010294,31.67727950418477]}"
2_LC09_118038_20240803_303,327.20872676,-0.17195234598896283,-0.10415685990513085,0.22545059979504486,2024-08-03,"{""type"":""Point"",""coordinates"":[121.43682223845505,31.17187276474127]}"
2_LC09_118038_20240803_304,317.850188,-0.44593593333525783,-0.2815361297448231,0.7252428246834751,2024-08-03,"{""type"":""Point"",""coordinates"":[121.53197590673481,31.137821164628118]}"
2_LC09_118038_20240803_305,326.63108137999996,-0.22973252589905235,0.023102348107512546,0.15612691168880558,2024-08-03,"{""type"":""Point"",""coordinates"":[121.25361030895503,31.262949913213234]}"
2_LC09_118038_20240803_306,319.90099999999995,-0.406421476207896,-0.2082721148781637,0.6006274460427881,2024-08-03,"{""type"":""Point"",""coordinates"":[120.94408781221414,31.697910746318612]}"
2_LC09_118038_20240803_308,325.45186448,-0.3199218068850324,-0.12124841137941143,0.4547616593865692,2024-08-03,"{""type"":""Point"",""coordinates"":[121.20099243433268,31.32565609713815]}"
2_LC09_118038_20240803_311,318.27402248,-0.419558214802176,-0.2389273803517149,0.6177034569197313,2024-08-03,"{""type"":""Point"",""coordinates"":[121.47214653152638,31.852905811539056]}"
2_LC09_118038_20240803_312,305.22744014,0.5657283367130245,-0.10041674935503096,-0.42362663063250344,2024-08-03,"{""type"":""Point"",""coordinates"":[121.97026146675641,31.144038055022524]}"
2_LC09_118038_20240803_313,325.29805358,-0.3568766879764793,-0.2753949514374041,0.6418174696435566,2024-08-03,"{""type"":""Point"",""coordinates"":[121.57684093661197,31.25077871296766]}"
2_LC09_118038_20240803_314,317.28279668,-0.3547448065148617,-0.2666084940676972,0.6572913560260727,2024-08-03,"{""type"":""Point"",""coordinates"":[121.03832526575816,31.544816081277702]}"
2_LC09_118038_20240803_315,310.54587926,0.5788937588740047,-0.3158145482811367,-0.3455633846729436,2024-08-03,"{""type"":""Point"",""coordinates"":[121.5969698250609,31.36550335949391]}"
2_LC09_118038_20240803_316,309.81100496,0.5927086831598195,-0.4967611056040943,-0.18140097836502092,2024-08-03,"{""type"":""Point"",""coordinates"":[121.89826875533622,31.805412500501582]}"
2_LC09_118038_20240803_317,330.81473786000004,-0.17027815764616316,-0.006385971212257209,0.12669940968755652,2024-08-03,"{""type"":""Point"",""coordinates"":[121.06435543812589,31.362628694500266]}"
2_LC09_118038_20240803_321,322.03384447999997,-0.28860941070505214,-0.13817183909328226,0.4357401179235328,2024-08-03,"{""type"":""Point"",""coordinates"":[121.54457161270933,30.999068263644755]}"
2_LC09_118038_20240803_323,322.77555482,-0.296173683238374,-0.03463017931501559,0.29646548694862335,2024-08-03,"{""type"":""Point"",""coordinates"":[121.18507890144545,31.475283326556088]}"
2_LC09_118038_20240803_324,305.14882567999996,0.6618217815559152,-0.24122126639402072,-0.48623130244436336,2024-08-03,"{""type"":""Point"",""coordinates"":[121.76160727591167,31.436962043201984]}"
2_LC09_118038_20240803_325,322.15347518,-0.4419663303401663,-0.07749952275885333,0.4661270349451811,2024-08-03,"{""type"":""Point"",""coordinates"":[121.58115272879708,31.565523361621945]}"
2_LC09_118038_20240803_326,304.44471355999997,0.47548937030423494,-0.01735782364451161,-0.3652081446181719,2024-08-03,"{""type"":""Point"",""coordinates"":[122.06447902586744,30.99991297214823]}"
2_LC09_118038_20240803_327,323.80096082,-0.10118944583199403,-0.10944233903626728,0.1879737890273673,2024-08-03,"{""type"":""Point"",""coordinates"":[121.44446138108071,31.381099550877924]}"
