BT_B10,MNDWI,NDBI,NDVI,date,lon,lat,LST_C
279.568364,0.8434610969002396,-0.7862545034515003,-0.2431569502546114,2023-01-29,121.80995908766548,31.31647319988152,6.418363999999997
282.80522894,-0.4490221591614958,0.1114387738725725,0.2317125735181658,2023-01-29,121.76196170426091,31.654432039847087,9.655228940000029
283.4307266,-0.1584823721005296,0.0196739305891848,0.0336240290287222,2023-01-29,120.9360383994666,31.861517999957723,10.280726600000037
282.98296598,-0.3356761565836297,0.0120498171461314,0.2675849244275305,2023-01-29,121.85655371230104,30.915426413115977,9.83296598000004
279.83155154,-0.3512597207212934,-0.2195665210314401,0.5435085654099934,2023-01-29,121.30516219025044,31.81258035430057,6.681551540000044
280.52199158,0.8771959246991738,-0.634126538005121,-0.5623285379725662,2023-01-29,121.42626666316619,31.491032662427777,7.371991580000042
278.23191818,0.8739406779661019,-0.661024376883046,-0.5327529085445719,2023-01-29,122.16459436679946,30.94033864808013,5.081918180000002
279.88965788,-0.0996913139479956,0.0159641947367887,0.031840626596288,2023-01-29,121.5296739168012,31.21693475706118,6.739657880000038
281.48587322000003,-0.5172017419112392,0.119359819079305,0.3377376253158704,2023-01-29,121.30967089035077,31.724207756548466,8.335873220000053
281.80374908,-0.1702885152233654,0.0550819757864184,0.0800555920855998,2023-01-29,121.00988982029156,31.7313520289722,8.653749080000011
283.09576064,-0.2345108024891844,-0.0894857372823702,0.3050294975093542,2023-01-29,121.50445732007182,31.272714578621738,9.945760640000003
280.23145988,-0.314738358137302,-0.0227662003996574,0.2880784657386498,2023-01-29,121.766027418809,31.775168723918906,7.081459880000011
283.36920224,-0.2523735419670774,-0.1988236261176921,0.3758988658043146,2023-01-29,121.26768181157279,31.38680262803296,10.219202240000016
279.04882496,0.8634321274127201,-0.8248660931666937,-0.221219117986608,2023-01-29,121.93660605289992,31.42989694755973,5.898824960000013
285.11922848,-0.4044957601825124,0.1065869497989898,0.2456389343010618,2023-01-29,121.72032262382368,31.371922322398515,11.969228480000027
